n,mean,low,high,function
129,0.006154261999999307,0.005564087500001235,0.007082469999993178,rm3
130,0.004346563000000003,0.004271650000004001,0.004634057500003408,rm3
131,0.005542891999999569,0.005427875000003013,0.0058693175000051655,rm3
132,0.005170736000000176,0.005003660000002696,0.00570402250000086,rm3
133,0.004603196000000622,0.004504562499995046,0.004848110000000005,rm3
134,0.002321605000000062,0.0015490824999954355,0.0028307400000066704,rm3
135,0.003050236000000126,0.0026881000000088303,0.004704729999998136,rm3
136,0.004565993999999875,0.004063332499996975,0.00682788499999667,rm3
137,0.004020653000000038,0.0033434300000070747,0.0060119424999989235,rm3
138,0.00468394600000039,0.003819207499994803,0.007118312500001165,rm3
139,0.004307321999999516,0.004099597500007591,0.00530297750000237,rm3
140,0.003974722999999471,0.003437102499998801,0.006116450000004292,rm3
141,0.004117035000000584,0.003564155000002245,0.00599592000000051,rm3
142,0.0038402510000003077,0.0037388999999961926,0.004155559999995973,rm3
143,0.0040997110000003546,0.003922927500003226,0.005139652499997276,rm3
144,0.003884735999999691,0.0036099924999991374,0.006035030000006714,rm3
145,0.005540155999999285,0.004569184999992971,0.007991439999997851,rm3
146,0.004283066999999648,0.0037017574999985924,0.006844419999996631,rm3
147,0.00400881400000003,0.00362988249999816,0.005488737500003886,rm3
148,0.004534668999999809,0.004130607500001559,0.006850542499998365,rm3
149,0.00557421499999947,0.004352299999993647,0.007916925000005293,rm3
150,0.005706121000000053,0.004443105000001779,0.007992025000004331,rm3
151,0.004539613000000315,0.004152417499999572,0.0069149724999988385,rm3
152,0.004647490999998922,0.0041045549999982,0.007248987500004844,rm3
153,0.0024968450000014287,0.002277419999998287,0.003917055000001567,rm3
154,0.0021058070000007944,0.0018746499999899413,0.003391735000003844,rm3
155,0.0021083269999991215,0.0019308399999982129,0.0030016374999970443,rm3
156,0.004788707999999815,0.003950637500004817,0.007305287500004453,rm3
157,0.004873708999999735,0.004121997500005392,0.0074302899999960205,rm3
158,0.005138534000000163,0.0039057000000063628,0.00759209499999649,rm3
159,0.006385152000000432,0.004234727499993696,0.014120190000001268,rm3
160,0.007240262000000968,0.004890780000004114,0.01023658249999606,rm3
161,0.005796004999999553,0.004272557499999153,0.0079470275000034,rm3
162,0.003780395999999371,0.003219577499999815,0.00606136750000523,rm3
163,0.005283907999998689,0.004584465000007042,0.0075413200000021136,rm3
164,0.0037475700000008773,0.0036411424999926115,0.004074657500001066,rm3
165,0.004574720999999897,0.004316717500002554,0.006712840000001915,rm3
166,0.006508459000000215,0.004515949999999691,0.013076829999997836,rm3
167,0.005657391000000302,0.004237347499999089,0.008448604999999176,rm3
168,0.005836397999999576,0.0047017399999990765,0.011448807499994707,rm3
169,0.007602146999999632,0.004187267499995784,0.010291395000000845,rm3
170,0.006064975000001169,0.00434048499999733,0.009086557499992407,rm3
171,0.004656695999999983,0.0039598950000016234,0.006961874999999651,rm3
172,0.0055803700000001295,0.004739587500001719,0.008366527499996935,rm3
173,0.006531653000000261,0.004997749999995804,0.009891567499998996,rm3
174,0.003261815000000752,0.0024137299999946295,0.004919319999999061,rm3
175,0.005424882999999028,0.004564387499998546,0.007990802500003369,rm3
176,0.006456098999999682,0.004956570000001293,0.008847234999996088,rm3
177,0.005220800000000736,0.00439634000000666,0.007974102500001122,rm3
178,0.005281340000000796,0.004730959999999484,0.00836252500000647,rm3
179,0.005447365000000275,0.004639627500001353,0.008633667500005514,rm3
180,0.006259155000000049,0.0052477400000036315,0.009283777499994983,rm3
181,0.005731784000000318,0.004898407500007095,0.008528590000005564,rm3
182,0.0037551550000004853,0.002838662500003153,0.005624277499991946,rm3
183,0.005485989999999674,0.004741789999998147,0.008202432499996703,rm3
184,0.0036036459999985483,0.0026807250000011607,0.0056313274999904885,rm3
185,0.007208932000000061,0.005640792500005887,0.009965684999998458,rm3
186,0.006598888999999985,0.004666997500001813,0.011548357500000245,rm3
187,0.007177892000000412,0.005403507499999449,0.009704067500002722,rm3
188,0.002578262000000109,0.0019920575000007545,0.003596065000000337,rm3
189,0.004599236999998908,0.0037286124999969415,0.007185367499993234,rm3
190,0.0065238379999999555,0.005680637499999719,0.01017671999999763,rm3
191,0.005702514999999266,0.005313695000003449,0.007931004999993614,rm3
192,0.0025833280000004777,0.002480274999996368,0.00306228000000317,rm3
193,0.00696029199999927,0.005315882499998636,0.010027925000002824,rm3
194,0.005765462000000383,0.005016455000004427,0.008902015000000672,rm3
195,0.006459980000000059,0.005604024999998814,0.00943241999999458,rm3
196,0.006833362000000278,0.0049043399999984414,0.009510039999999265,rm3
197,0.006552240999999412,0.005158902499997708,0.009341947499994775,rm3
198,0.00516864899999959,0.004182409999993908,0.008061185000004299,rm3
199,0.006404536999998811,0.004895969999996197,0.01712362999999788,rm3
200,0.007151426999999586,0.004620900000002948,0.010612257500005384,rm3
201,0.005997723999999777,0.004828902499997412,0.009145457499996467,rm3
202,0.005658153999999769,0.004196137500006003,0.008616589999996902,rm3
203,0.005942992000000089,0.005130522500004275,0.009141604999998875,rm3
204,0.006792309999999446,0.0055505600000067545,0.00980921499999141,rm3
205,0.007510008000000141,0.005702707499998993,0.013376557500002302,rm3
206,0.009235511999999346,0.00630620750000368,0.016163617500001563,rm3
207,0.007891189000000338,0.005894847500004019,0.011796105000004073,rm3
208,0.005729892000000092,0.004911247499994431,0.009059252499999813,rm3
209,0.0070886080000002495,0.00521537999999957,0.010844885000001268,rm3
210,0.006358127999999254,0.005379609999999957,0.010218185000000799,rm3
211,0.006720795999999467,0.006031015000002427,0.010838102499992881,rm3
212,0.007117509999999783,0.006155857499998519,0.010368139999999925,rm3
213,0.006677017999999464,0.005725594999998762,0.010255454999996161,rm3
214,0.007699991999999156,0.006086785000000816,0.011391360000008177,rm3
215,0.0072796319999999075,0.006108882499996327,0.009927727500004122,rm3
216,0.0052369640000002,0.003947287499996932,0.008324417500001857,rm3
217,0.007579261999999432,0.006349804999998909,0.011703855000004636,rm3
218,0.007347464000000343,0.00583660500000569,0.010927167500005906,rm3
219,0.00885029099999997,0.00680270500000475,0.013015204999998885,rm3
220,0.007849394000000842,0.0064466149999990565,0.011132397500000477,rm3
221,0.006301392000000163,0.004956617499999538,0.012402390000001148,rm3
222,0.0062632289999992,0.006077837500001949,0.006809164999999591,rm3
223,0.007158502000000482,0.00572565250000423,0.011561049999994206,rm3
224,0.009578360999998523,0.006586932499993026,0.014252852499998525,rm3
225,0.0072180059999990935,0.0055672525000005635,0.010867607500003018,rm3
226,0.006757345000001465,0.0061310649999903434,0.010354327500006021,rm3
227,0.007691356999999926,0.005875497499999227,0.01138825500000137,rm3
228,0.007679402000000124,0.0069018449999976635,0.011411914999998985,rm3
229,0.0030451080000001695,0.0028763375000025347,0.00475025250000094,rm3
230,0.007737165000000204,0.006020399999999882,0.011102707499999552,rm3
231,0.007604779000000832,0.0065095725000059446,0.01178256000000246,rm3
232,0.0073371389999999795,0.006498047500008042,0.01141720499999934,rm3
233,0.0074979740000000565,0.0054280424999966215,0.011110814999996062,rm3
234,0.007355068000000245,0.005997547500005496,0.010987217500002797,rm3
235,0.007255856000000022,0.005897944999998827,0.011448052499997984,rm3
236,0.009824039999998604,0.006988634999999732,0.013276954999998834,rm3
237,0.004600672999999773,0.003800470000010847,0.006943072499997524,rm3
238,0.007962989999999195,0.006732217500000104,0.011978167500006971,rm3
239,0.0038791609999984187,0.003423242499997059,0.006092034999991112,rm3
240,0.007418530000000203,0.005997150000001028,0.011362159999986687,rm3
241,0.007103159999999775,0.006224269999987086,0.010517840000013465,rm3
242,0.007546939000000066,0.006595802500007153,0.010817089999991935,rm3
243,0.007550072000000511,0.00663093999999873,0.010095469999996696,rm3
244,0.007945976999998834,0.006443409999988603,0.012065557499994384,rm3
245,0.007675595000000896,0.007188115000010242,0.011948679999981237,rm3
246,0.007009515999999678,0.005920777499991203,0.011073387500001529,rm3
247,0.007384470999999735,0.006879297500005776,0.011335894999997716,rm3
248,0.006545109999999568,0.006105009999998146,0.010290385000005384,rm3
249,0.008661040000000356,0.0062792724999987115,0.01265698499999814,rm3
250,0.008262687000000142,0.006918769999994368,0.01257174249999906,rm3
251,0.006356845000000817,0.005152887500018011,0.009652167500005504,rm3
252,0.007314262999999812,0.005670224999987993,0.010909202500000957,rm3
253,0.008267312999999775,0.006123192499985209,0.01118698250000989,rm3
254,0.010120195000001218,0.0070736000000025,0.01380275500000749,rm3
255,0.006112321000003078,0.005518417500012873,0.008026092500010407,rm3
256,0.010482904000001554,0.007589747500010446,0.01389350249999097,rm3
257,0.00873932899999943,0.006486817500006481,0.012657529999989236,rm3
258,0.008529015999999955,0.0073549675000009525,0.0123587224999973,rm3
259,0.00820872199999826,0.005829202500000008,0.012239599999988825,rm3
260,0.007299867000001257,0.005895262500000342,0.0109254300000046,rm3
261,0.007902607999999417,0.006134617499995443,0.012354517500001804,rm3
262,0.008534443000000351,0.007362760000018653,0.012588717499984622,rm3
263,0.008418796000001123,0.006799717499998081,0.012855735000006517,rm3
264,0.00851737499999956,0.006244810000001166,0.012515927500001568,rm3
265,0.00953779000000054,0.00793318500000737,0.01455148250000704,rm3
266,0.009562462000002086,0.007170730000014202,0.013839067499998945,rm3
267,0.006057097000001193,0.004020057500004981,0.007352597500011625,rm3
268,0.008565242999999327,0.007248215000008429,0.012594977500000937,rm3
269,0.008929872999997883,0.007544914999996166,0.01267433499998063,rm3
